Text,is_humor
"Me pregunto si mañana le abria la puerta 
#CNCO #BestBoyBand #iHeartAwards️",0
pray por las bunny citizens que fueron al musical,0
"Últimamente me está aburriendo todo, no sé qué me pasa",0
Que paja cuando le tiras mil palos a alguien y NO CAZA UNO podes darme bola la puta madre no ves que me tenes como loco,0
"Acá, stalkeando como un campeón.",0
Es imposible discutir con un DJ. Siempre te cambia de tema.,1
"Amo sus ojos, su boca, sus labios, su cabello, su sonrisa, su nariz, sus gestos, en fin, te amo espejo.",1
¿No se cansan de publicar pura mierda?,0
"La cucaracha, la cucaracha ya... *Sale Pitbull* -¿No puede caminar?.. Vamos mamacita YEAH! ¡Daleee!... 1...2...3... ¡CAMINA!",1
Hace un año era jurado eb the voice. Quizás en un año puedo ser flaca.,0
Una lesbiana murió yendo a la panadería.  Su novia se quedó sin el pan... y sin la torta,1
Soy tan buena persona que no madrugo para que Dios le ayude a otro.,1
"""Mas vale usar pantuflas que alfombrar el mundo""
-Proverbio callejero",0
Ya quiero que sea sábado :(,0
"No mames, Me están metiendo bots, Ya cambie la contra, Paren pendejoos",0
"“Diciembre, sorpréndeme”

—El pirata Culiacán. RIP ☹️",0
ME ESTAN DANDO MIL ATAQUES #OTDirecto19F,0
¿No se cansan de presumir lo mucho que disfrutan su vida? Qué triste y agotador esforzarse para impresionar a desconocidos.,0
Me levante con ganas de desayunarte @TortilladeLuis,0
"-Mamá, ¿aún estás enamorada de mi papá?

-Sí, pero dame chance, estoy con un cliente.",1
"Tía Sara, ¿para qué te pintas? -Para estar mas guapa. -¿Y tarda mucho en hacer efecto?",1
"Los chicos seguro quieren dormir y esta manga de taradas gritando como locas afuera del hotel, algún día se van a calmar",0
"Alexa?.
-Si...?.
-Estás embarazada?.
-Sí.
-Estás despedida.!.",1
"No me provoques celos, mejor provoca que te haga el amor.",0
"— Eres muy inmaduro para tener una relación, terminamos.
— Está bien, pero antes que te vayas necesito decirte algo.
— Dime.
— Algo JAJAJA.",1
"Oye, deberías pedir trabajo ahí -¿Por qué lo dices, amor? -Porque ahí dice: ""INTERESADAS"" pedir informes.",1
"- Mamá, ¿qué es la ironía? - Lo que te pasa a ti; Tienes 16 años, estás embarazada y prefieres ponerle funda a tu teléfono y no a los penes.",1
Corazón que miente,0
"—Duele, ¿verdad? —¿Qué cosa? —Saber que ya te olvidé. —Bueno… para empezar, ¿quién eres?",1
"Un día eres joven y al otro escuchas a los niños decir, “Espérense, paren el balón, dejen que pase el señor”.",1
"—¿Qué es eso que traes en tu bolsa?
—Un AK-47.
—No, al lado del AK-47.
—Unos Chettos bolita.
—¡No puedes entrar al Cine con comida!",1
JUAN CRUZ AY JUAN CRUSSSSSS q miedo,0
"—¿Me prestas un lápiz?
—Si, pero no lo muerdas.
—Tfanquiglo",1
"Mi primo empezó natación. 
Hace poco y nada",1
Tengo prohibido salir guau,0
Yo fui la que se acostó con tu marido.,0
Viendo los memes de hoy en día es apenas comprensible que la NASA se esfuerce e invierta tanto en buscar vida inteligente en otro planeta.,0
"FELIZ FIN D SEMANA PARA TODOS, QUE DESCANSEN",0
"Típico: Sacar el celular para ver la hora, guardarlo y no saber qué hora es.",1
"¿Estás más gordo?
-Es por exigencias del guión, estoy rodando una película en la que interpreto a la puta madre que te pario",1
Cada vez tengo peor el ojo,0
Pues tener color cartón en tu piel ES BIEN NACO,0
#MasVacacionesPara que me de tiempo de copiarle los anotes a mis compañeros 👀,1
"— Aló,¿mi amor?  — Dime  — ¡Estoy embarazada!  — No Soy yo, yo soy Alan from Misisipi, this a grabeichon, live yur messach *pi*",1
"#firstdates565
- dónde vives?
- en la mala ostia",0
Creo en el corazón que bombea abundancia de libertad.,0
"“Diosito, cuidámela mucho, que llegue bien a casa”.

—Yo cuando pido pizza a domicilio.",1
"Ya quiero que legalicen la marihuana, nada más para cagarme de risa cuando saquen publicidad o comerciales ¿Se imaginan? ¡PÓNGASE BIEN LOCO!",0
ACTIVOS?!?!?!?!?!!¡?!?!?!?!??!?!,0
"Que tengo en la puta cabeza cuando se me cruza hablarle, me quiero cagar a palos.",0
"Que te caigo mal? bueno, saca turno, toma asiento y espera a que me importe #XD",0
"OK,dejenme decirle q el tapon para SJ esta cabron,hay guaguas en la 26,pero no es pa q las rompan como hicieron ayer...",0
Algún día voy a ver mi calzones y tu tanga en el mismo tendedero.,0
"Las mujeres pueden fumar, maquillarse, hablar por celular, manejar y chocar AL MISMO TIEMPO.",1
Jaimito llega al cole llorando: HP delicuencia en esta ciudad -Q te paso jaimito? -Me atracaron maestra -Y que te quitaron? ps la tarea #RT,1
"–¿Y tu familia es muy unida?

–Bueno, tenemos un grupo de WhatsApp.",1
"Niñas de 9 años poniendo en su muro: ""Ya eh sufrido mucho por amor, ahora vivire la vida"" - yo me pregunto... ¿Quienes las dejaron? ¿Barney?",1
"Toc, toc - quien es - lola - que lola?? - los ladrones... Bueno esperame que estoy con lame - que lame?? - lametralladora... #xD",1
Twitter en modo nocturno es un diario de medianoche,0
Una ardilla astronauta... Un caracol que maúlla... Un cangrejo que tiene una hija ballena... ¿Qué se habrá fumado el creador de Bob Esponja?,1
"—Amor, llevamos siete meses saliendo..¿Cuándo me vas a presentar a tu familia? 
—No sé, no creo que a mi esposa le guste.",1
Relleno de veneno,0
"-¿Qué día es hoy?
-Martes 13
-¡Agachate y conocelo!
-Mirá que sos boludo Roberto...",1
"Típico : Gritar: ""ya voy"" hasta que tu mamá se vuelva loca.",0
#Refan: Ojos que no ven.... -Sentido de mujer que lo detecta #xD #JAJAJA,1
Ducha = Lugar donde sacas el artista que llevas dentro.,1
"Nada es imposible -A ver, tócate la espalda con la rodilla, positivo de mierda",1
Que hermosa sos la putaaaaa,0
Como se dice espejo en chino?.... ahitoy yo,1
"Si amas a alguien, déjalo dormir.",0
"No es necesario que finjas que te gusta Dragon Ball, Free Fire y Canserbero. Ya conseguirás novio, cálmate.",0
"¡A la mierda el Vaticano! ¡Voy a ser Tuitstar! Atte: #BenedictoXVI

#RenuncioComoElPapa",1
RT @pezo94: ¿Cuál es el chiste mas malo? -- El que le pega a los Chistesitos!,1
Si no sabes qué twittear busca en twinterior.,1
Identificó los chiles de su hija? JAJAJAJA CUIDADO CON LA MAMÁ DE DANIEL #MasterChefMx,0
"La mujer le dice al marido: - ¿nunca se te ha ocurrido comprarme flores? -Para que, si todavía estás viva!",1
"Ya me enojé viendo Gilmore girls, como si fuera la primera vez que la veo.",0
"no no no cómo mau y ricky van a cantar el remix sin las 4 malas, sony latin mueve tus influencias y lleva a lali sí sí",0
Me dio un ataque de ansiedad y me acabo de pintar las uñas 💅🏼🙎🏼🙎🏼🙎🏼🙍🏻,0
"AMIGAS!!! Dejen de buscar hombres guapos, románticos y sensibles, esos ya tienen NOVIO. #fb",1
¿Para cuando una amiga dedicandome 'vivo pensando en ti - Pipe Pelaez ft Maluma'?,0
PENALES!!!!!!,0
dora milaje,0
"Hijo, ¿Reprobaste? Sí, YOLO!... ¿YOLO? Sí, yolo de la tlisteza JAJAJAJÁ! ¡Maldito chino, por eso te adoptamos! JÁ! ¡Lo sé, soy telible",1
Fan de Caprile. En todos los sentidos..... #MaestrosDeLaCostura,0
"3 palabras que joden tu examen: ""Justifica tu respuesta""",1
"#AbranElNacional 

No se vaaaaa no se vaaaa Peredo No se vaaaa!!!!! 

#DanielPeredo. #GraciasPeredo",0
"¿Y la novia, hijo? Ya llevas rato soltero. ¿Y la dieta, tía? Ya llevas seis platos.",1
"""El problema no es perdonar, es volver a confiar.""",0
"-Amor, dime algo dulce
-Caramelos
-No, algo lindo
-Cachorritos
–NO, dime algo sexy
-La vecina.. #xD",1
Entrenador de gym en el día y diva respetable en la noche.,0
Ya empezoooó! *se pone gel en la trenza*,0
Desde que te conoci deje el alcohol...MAS CERCA DE MI CAMA PORQUE ME ROMPISTE EL CORAZON CULERA,1
"Alfred siendo Alfred inventándose la letra:_ 
#AlfredDirecto",0
"¡RAPIDO TODOS GRITEN ""PUTO"" PARA QUE EL ARBITRO SUSPENDA EL PARTIDO Y SE ACABE ESTO A LA VERGA!",0
"RT @todohumor: -Hola, ¿aquí enseñan inglés? -If, if, between, between...",1
Lo voy a bloquear.,0
"Y si no te mueres vete lejos, tengo taquicardia que no puedo con mi alma que no me deja pensar...🎶",0
"Odio los lunes, los martes, los miércoles, los jueves y la mitad del viernes.",0
Ya se me antojo la  #SalsaVictoria,0
"Pueeees mi hermano tiene paperas, y adivinad quien ha estado una semana durmiendo en ambos sofás? Exacto, mi hermano.",0
"Hoy fuimos a comprar cosas para el upd, no puedo con la manijaaaaa",0
Eres un mar donde navegan emociones...,0
"—Abuelo, ¿La sordera es hereditaria? 
—No somos de Italia hijo, somos de México. 
—No gracias, ya comí. 
—Las 5:45pm
—Pues bien ¿y tú?
—Ayer",1
Está sacado Diego Diaz tira cualquier verdura el tipo. Gravisimo #lagrietantp,0
"- che ma entraron a robar a casa 

+ que verguenza con toda la casa sucia y desordenada, anda a saber que habran pensado de nosotros",1
por suerte cubero es famoso y no va a mendigar que lo ayudemos AHRE,0
"Ring... ring... -Bueno, con quien hablo? -Habla Melesio -¡¿BUENO, CON QUIEN HABLO?! #fb",0
TIPICO: Escuchar una canción en ingles y cantarla en guaraní,0
"Todos sabemos que el Ping Pong no es un deporte, es un muñeco muy guapo y de cartón, que se lava su carita con agua y con jabón.",1
"- ¿Y como esta tu corazoncito? - Ahí esta, bombeando sangre",1
"Tengo a la novia con los ojitos más hermosooooos, chuladaaaa😱💕",0
"Mi amor, me perdonas? @BelenNaumtchuk ???",0
"-¿Cuántos años tienes, linda? 
-¿En Facebook, Twitter o en Instagram?",1
"Tenía un chiste buenísimo para contarte que se te iban hasta caer las tetas! pero te vi y dije -Na, ya se lo contaron #xD #JAJAJA #RT",1
@lissete_rdz que chula en tu dp bebe?,0
"No pues si, muchas gracias",0
"@SnoopAlb Hola tio, me he quedado sin batería en el móvil y no se como se mandan MD... Me puedes pasar el ejercicio de Rams por Drive? Thx",0
"Qué feo ha de ser que el único palo que tengas este fin de semana, sea el de la escoba.",0
"—Flaca, voy a consulta con el urólogo.

—¿Y eso?

—Porque se me hincharon los huevos.

—¡Uta, qué pinchi genio!",1
"Telepatía: la capacidad de transmitir el pensamiento, o... Un televisor para la hermana de tu vieja.",1
"Tuviste que apreciar más en su día lo que tenias, que ya es tarde",0
"Cuando una mujer dice ""TENEMOS QUE HABLAR"" nunca es sobre futbol
#frases",1
Va un pollito con un cubito Maggi bajo el brazo y le pregunta otro pollito: -¿Qué es eso? -Son las cenizas de Mamá...,1
"Oiga, usted tiene fotos de su esposa desnuda? - No - Pues mire, le interesa comprar estas? #humortico",1
Intenso,0
"#MeEnamoraQue cocines como mi Mamá, prepares las bebidas como mi Papá, sepas de Futbol como yo, pero cojas como Estrella Porno.",1
si yo te gusto pues  enamorame y si no pues dime y yo te enamoro a ti ._.'',0
Mamá  me contrataron para hacer una pelicula en inglés -Pero ud no sabe hablar en inglés -No mamá solo me toca decir oh yeaH oh yeaH oh yeaH,1
"Me da risa que cuando me acaban de conocer y me dicen: ""eres muy serio"" jajaja, si esos pendejos supieran que mi segundo nombre es desmadre.",0
"1, 2, 3, Abajo!! Dale! Como las Torres Gemelas se derrumba por ti mi corazón. 

Dulce María feat PitBull.",0
¿Como crees que vas a quedar después del finde?,0
"-Doctor, ¿se acuerda de mí? Usted me operó y me curó del dedo -Claro que me acuerdo ¡Vengan esos cuatro!",1
Era una señora tan recatada que se cambió de casa porque la calle donde vivía era de doble sentido... by @David_Correal,1
Que grande mi viejo me mandó una foto de que me está poniendo el piso flotante 👏👏👏,0
"Ele merece tudo
DRITON BY BRENO SIMOES",0
"- Doctor, a mi amigo le picó una víbora en el pene, ¿que hago? - Chupar y sacar el veneno - Oye, ¿Que dijo el Dr? - Que te vas a morir.",1
Empezar por juntarnos para no hacer nada,0
Yo también cerré los ojos un segundo y me quedé dormido dos horas.,0
"Las mujeres quieren a alguien que las proteja y las haga reír, algo así como un payaso ninja...",1
#GodinQueSeRespeta trae los tennis en el bolso  para cuando suene la alerta sismica,0
"Si la batería del móvil te dura más de un día, es porque nadie te quiere.",1
CON ACTITUD DE llorar por las pendejadas que hace este wey ?,0
"No tengo miopía, simplemente te digo que sí tengo porque no tengo ganas de saludarte cuando te veo en la calle.",0
"—Hija, ¿Ya sabes qué quieres hacer de tu vida?
—Aún no papá.
—¿Qué es lo que más disfrutas hacer?
—Chuparsela a mi novio.
— ;(",1
Besos en el cuello = Adios autocontrol.,0
Seria re poronga si paraguay termina organizando el mundial con argentina y Uruguay reeee nada que ver,0
"#TIPICO  Papá voy a salir. ... - ¿Me estás avisando o me estás pidiendo permiso? ... - No papá, te estoy pidiendo dinero  #RT",1
#Hipismo Para hoy 20/02 en TURF PARADISE lo MÁS FIJO en la 4ª carrera: ALLEY BOSS (5): 5/2,0
Se habla mucho de las alineaciones de Real Madrid y Barça pero... ¿Quién ocupa mi posición en el parking hoy?,0
"El año es nuevo, pero la flojera es la misma.",0
"Ya pasé tus nudes a la compu, ya eres mía para siempre.",0
"Hace muchísimo tiempo no me sentía tan cansada como hoy amis, qué loco.",0
Sabes que te estás haciendo mayor cuando la galería de tu móvil se llena de fotos de bebés,1
Estoy de vuelta amores. 🖤,0
"—Hola guapa ¿Tienes WhatsApp? —Sí, pero más tarde me van a robar el celular, lo presiento. — Ay :(",1
"-Hola con la fabrica de Guapos? -Si, que necesita?.. -Jajaja tontos me escape.",1
Ay ya me enteré,0
La vida sin sujetador es mejor,0
"A pesar de todos tus defectos, tus pulgas, tus piojos, tus garrapatas te quiero igual Amigo #XD",0
.,0
"En una zapatería: -¿Tienen zapatos de cocodrilo? -Sí, ¿qué número calza su cocodrilo? #fb",1
"Dios por favor, permite que este calor derrita toda la grasa que hay en mi cuerpo.",0
Que puto sueño tengo,0
"— Diosito, ¿por qué no encuentro el amor de mi vida?

— Porque cuando te lo mando le dices que lo quieres como amigo, pendeja.",1
"-Oye, estás muy guapa. 
-Dime algo que no sepa.
-Estacionarte.",1
9 de cada 10 mujeres hoy tienen un piercing en la nariz,0
"Quieren un novio como Christian Grey, pero se enojan al primer agarrón de nalga . ¡¿Así cómo?!",0
En el gimnasio uno se sacaba fotos en el espejo. Le dije: podes tener buenos resultados sin ser pelotudo. Nos reímos mucho. Me dió 7 piñas.,1
"""Oye, qué rico hueles""

—La emperatriz del país de la putería y galaxia de la ofrecidéz.",1
La ciencia de hoy es la tecnología del mañana,0
"Hoy me subí a un camión que llevaba tan buena música que hasta me dieron ganas de gritarle, subaleeeee",0
"Siempre que nos sentimos mal nos juntamos con mi primo, somos el dúo del fracaso",0
"Cuando una dama dice no, quiere decir quizás; cuando dice quizás, quiere decir sí; y si dice sí, no es una dama. #fb",1
Si hacen tareas pongan en modo avión su teléfono amiguitos,0
"Es bueno dejar la bebida, lo malo es no acordarse donde. #MaximasFilosoficas #fb",1
Todas las noches le rezo a kokún,0
Amor es cuando al pensar en la persona que amas sientes que el corazón te va a explotar.,0
"La vida es un libro el cual no puedes brincar la pagina para saber el final, tienes que vivir cada capitulo..#PREMAporunsueño",0
estamos alegres !!! por leer alegres comentarios de buen dia gente!!!,0
No me puedo quejar de la situación,0
"Fui a la frutería y el señor me dijo: ""¿qué fruta le gusta joven?"" y le terminé hablando de tu papaya. Como a todos, como siempre.",1
Yo aquí pudiendo quererte bonito y tu allá quejándote de que nadie te quiere.,0
"La gente es toda piroba con uno, qué decepción.",0
cada día odio mas vivir en esta casa,0
Buen día sería si hubiese despertado de vacaciones en lugar cálido y con piscina disponible. Esto no.,0
Estaba fumando mientras cantaba y cuando me di cuenta había un pibe mirándome jajj lo siento era altotema,0
"""Los papeles de Panamá no afectan a México, pues aquí nos limpiamos con Charmin""

—Andrea Legarreta.",0
"Niños de 2 años que desbloquean la pantalla del iPhone, abren y cierran aplicaciones todo solitos... Yo a esa edad comía arena.",1
