id,text,is_humor,votes_no,votes_1,votes_2,votes_3,votes_4,votes_5,humor_rating,humor_mechanism,humor_target
tweet13,#20CosasQueHacerAntesDeMorir: Enseñarles la diferencia entre: -Hay de haber -Ahí de lugar -Ay de exclamar - Ai se eu te pego.,1,0,1,1,2,1,0,2.6,reference,
tweet21,Te quiero pero #YoTan Twitter y tú tan Facebook.,1,2,2,0,1,0,0,1.6667,analogy,
tweet22,"-El alcohol es un veneno. –Si es un veneno, ¿Por qué lo tomas? -Porque hay cosas dentro de mi que necesito matar. -Charlie Sheen",1,2,1,1,0,1,0,2.3333,reference,substance use
tweet23,"Cambié mi contraseña de Twitter por ''incorrecta'', si se me olvida, twitter me la recordará: Su contraseña es ''incorrecta''. Soy una genio",1,0,0,3,5,1,0,2.777777778,irony,
tweet29,WhatsApp cayó varias veces en 2015 y vos todavía no caes que nadie te soporta.,1,2,2,0,0,0,1,2.3333,insults,
tweet32,"Los hombres solo le vemos las nalgas a otras mujeres solo para decir: ""Ah, están más bonitas las de mi novia"". Y ustedes haciendo un drama.",1,1,0,2,2,0,0,2.5,irony,
tweet33,"Soy virgen, lo juro por mis dos hijos!",1,2,1,2,0,0,0,1.666666667,absurd,
tweet34,"—Bienvenido a los X-Men, ¿cuál es tu poder? 
—Creo regresaré con mi Ex
—Muy bien, te llamaremos «Bestia».",1,0,2,2,0,1,0,2,parody,
tweet40,"–¿Tiene pastillas para la diarrea? –No. –Ok, deme un rollo de papel higiénico :(",1,0,1,1,2,1,0,2.6,embarrassment,health
tweet45,"—Hola linda, ¿Por qué tan sola? —Es que me vine a tirar un pedo.",1,1,3,4,2,0,0,1.888888889,unmasking,
tweet47,Madurar es dejar de creer que el profesor Jirafales sólo entraba a tomar una tacita de café #XD,1,1,2,1,0,1,0,2,reference,
tweet56,"—¿Y Thomas? —No, yo no tomo. —No, ¿Que si Thomas vino? —No me gusta el vino. —¡No! ¡¿Que si llegó Thomas?! —No, no tomaré ni aunque llegues.",1,2,6,2,3,0,1,2,misunderstanding,
tweet64,4 etapas de la vida: 1- Creer en Santa Claus. 2- No creer en Santa Claus. 3- Ser Santa Claus. 4- Parecerse a Santa Claus,1,0,0,3,1,1,0,2.6,analogy,age
tweet65,"—Buenas tardes, vengo a que me haga un tatuaje.
—¿De qué?
—De tres tristes tigres tragando trigo.
—¿Dónde?
—En un trigal.",1,0,1,0,0,2,2,3.8,misunderstanding,
tweet68,"—Mamá, me corté el dedo.
—Chúpatelo, hijo.
—No lo encuentro. 😭",1,0,1,1,2,1,0,2.6,misunderstanding,
tweet70,Enamorado yo?... JAJAJJAJAJA que me haya comprado un blackberry porque me pidio mi pin no tiene nada que ver.,1,1,3,0,0,1,0,1.75,irony,
tweet71,-¡Policía! Dos chicas se están peleando por mí -¿Y cuál es el problema? -Es que va ganando la gorda!,1,0,7,2,11,2,2,2.583333333,misunderstanding,body shaming; women
tweet74,Teníamos una farmacia pero la cerramos porque no teníamos mas remedio. #fb,1,0,1,1,1,1,2,3.3333,wordplay,professions
tweet81,Pasa una mujer y jaimito le dice: oye te dolio? -Que cosa? -Cuando te caiste del cielo! -Ay q lindo -Noo es q te quedo la cara vuelta mierd@,1,0,2,2,1,0,0,1.8,insults,body shaming; women
tweet84,¿Tu? ¿Gustarme? JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JÁ Tengo que disimular un poco mas.,1,1,2,1,1,0,0,1.75,unmasking,self-deprecating
tweet86,"Estaba viendo Netflix tranquilamente, hasta que recordé todo lo que tengo por hacer, ahora estoy viendo Netflix estresadamente.",1,1,0,1,3,0,0,2.75,unmasking,
tweet95,"Cada vez que estoy pasando por momentos difíciles me pregunto ""¿Qué haría Jesús en ésta situación?"" Después me acuesto y me duermo tres días",1,0,1,0,4,0,0,2.6,irony,religion
tweet97,"- El otro día ví a tu suegra y .....
- ¡Alto ahí! se dice ""madre política""
- Pero si la política es una mierda.
-...",1,1,3,1,0,0,0,1.25,wordplay,family/relationships
tweet98,"#Chiste Te amo
- ¿En serio? Que casualidad!
- ¿Por qué? -Porque Yo También Me Amo ♡  #chistes RT.",1,0,2,2,0,1,0,2,absurd,
tweet101,"Si yo fuera presidente haria pintar la casa de gobierno de celeste , porque soy varon  #chistes #humor",1,1,2,2,0,0,0,1.5,stereotype,men
tweet107,"—¡A UNA MUJER JAMÁS SE LE LEVANTA LA MANO!
—Pero maestra, dijo que si teníamos dudas levantáram...
—MALDITO CERDO OPRESOR ¡VIVA LA PANOCHA!",1,0,2,3,0,0,0,1.6,exaggeration,women
tweet113,"—¡¡HIJO TE COMPRE BOLETOS PARA LA PELÍCULA DEL CAPITÁN MARICA!! 

—JAJAJAJÁ es “Capitán América”, abuelo.",1,0,4,0,1,0,0,1.4,misunderstanding,
tweet114,"""Dejen de inventar frases que yo no dije, putos."" —Bob Marley.",1,0,1,2,1,0,1,2.6,absurd,
tweet116,"No se que dura menos, si la bateria de mi celular o yo estudiando.",1,1,2,1,1,0,0,1.75,analogy,self-deprecating
tweet124,"Doctor, ¿cuanto me queda de vida? - Diez... - Diez qué? - Diez, nueve, ocho, siete... #humortico",1,1,0,1,2,0,1,3.25,exaggeration,professions
tweet127,1er acto Muere 1 espermatozoide 2do acto Mueren 100 espermatozoides 3er acto Mueren 1000 espermatozoides¿Como se llama la obra?El Sementerio,1,0,3,1,0,0,1,2,wordplay,
tweet132,"—Mamá, ¿has visto la marihuana que tenía en mi cuarto? —No hijo, estoy en la cocina espantando unicornios para que no se paren en la comida.",1,1,0,2,2,0,0,2.5,unmasking,
tweet133,"—Mijo, ¿tan grande y todavía sigues viendo a Peppa la cerda?

—¡MAMÁ ESTOY HABLANDO CON MI NOVIA POR SKYPE!

—JAJA DILE QUE SALTE EN EL LODO",1,0,4,0,0,0,1,1.8,embarrassment,body shaming
tweet134,"La frase ""No eres tu, soy yo"" viene del latín ""Me Gusta Alguien Más""",1,1,1,5,2,0,0,2.125,irony,
tweet135,"— ¿Aquí es la reunión para personas impuntuales? — Ops, fue ayer.",1,0,2,0,1,2,0,2.6,exaggeration,
tweet137,Pasa cupido y me dice: OLEEEEEEEE,1,0,2,2,1,0,0,1.8,absurd,self-deprecating
tweet139,"Si mi celular fuera tan inteligente como dicen, pondría un mini-paracaídas antes de caerse al suelo.",1,1,2,5,1,3,0,2.454545455,absurd,
tweet148,"Fui a McDonalds y el cajero me preguntó ""¿Le pongo salsa?"", dije que sí y nos pusimos a bailar mientras la gente aplaudía. Fue precioso.",1,0,1,3,0,1,0,2.2,unmasking,
tweet156,Algún día les voy a contar del Boludo que desayuna café con empanadas. Ahora no porque me cago encima. Me cayó mal el café con empanadas.,1,0,3,1,1,0,0,1.6,unmasking,self-deprecating
tweet182,"Oye, ¿A ti te resulta difícil tomar decisiones? -Mmmm, sí y no.",1,1,3,6,3,1,1,2.357142857,absurd,
tweet183,"—Puta.
—¡¿QUEEÉ DIJISTE?!
—Puta sorda.",1,2,0,1,2,0,0,2.6667,insults,women
tweet187,"Jesús te ama, tu ex no.",1,1,0,1,3,0,0,2.75,embarrassment,
tweet201,"Danos hoy el tweet de cada día
Perdona nuestros Unfollows",1,2,3,0,0,0,0,1,parody,religion
tweet203,-Ayer hice el amor con 3 americanas! -Si? vaya... y que tal? -Me las tuve que quitar... un calor... #fb,1,1,0,1,2,1,0,3,wordplay,
tweet220,"Pepito define la palabra descanso
– Profesor, no sé lo que es.
– Una pista: qué hace tu papá después de trabajar?
– Eso quiere saber mi mamá",1,1,0,2,0,1,1,3.25,misunderstanding,
tweet221,"9 de cada 10 personas dicen que tú eres una puta, la otra es tu mamá que no lo dice, pero lo piensa.",1,0,2,1,1,0,1,2.4,insults,
tweet222,Mi sombra me dice que baje de peso o se va a la mierda y no la vuelvo a ver nunca más.,1,2,1,2,0,0,0,1.6667,absurd,self-deprecating
tweet237,"— Mama estoy Cansada... — ¿EMBARAZADA? condenada muchacha del demonio, te me vas de esta........ — Mama, dije ¡C.A.N.S.A.D.A.!",1,1,4,0,0,0,0,1,misunderstanding,family/relationships
tweet240,"-Hijo que es eso de Twistter?
-Es un virus mamá, ni se te ocurra abrirlo.",1,0,3,4,1,2,0,2.2,misunderstanding,age
tweet245,Típico : Estar viajando en taxi y pensar tácticas de escape por si el taxista te quiere secuestrar.,1,1,3,0,0,0,1,2,reference,professions
tweet246,"Preguntas que siempre hago cuando termino de coger:

- ¿Terminaste?
- ¿Me amas?
- ¿Cuánto te debo?",1,0,1,2,1,1,0,2.4,unmasking,
tweet255,"¿Sentimientos? Para que, ¿para que los hagan mierda? Mejor drogate, es más sano.",1,1,2,2,0,0,0,1.5,exaggeration,
tweet265,"como ladra un perro argentino?????
Este...Guau    #chistes #humor",1,1,1,1,2,0,0,2.25,stereotype,ethnicity/origin
tweet275,"—Hola, soy un paracaidista, paraguayo, parapléjico, paraolímpico, y vengo para pedir la mano de su hija
—¿¡PARA QUÉ!?
—Ay, no jodas señor...",1,0,1,0,1,2,1,3.4,misunderstanding,
tweet284,"¡CASA SOLA! ""Perspectiva: Fiesta loca con todos tus amigos"". ""Realidad: Ir al baño con la puerta abierta"".",1,0,1,1,3,0,0,2.4,reference,
tweet286,Los juegos de mesa destruyen más familias que las secretarías.,1,0,3,1,0,1,0,1.8,stereotype,professions
tweet287,"—Señor Peña Nieto, ¿Qué opina de los Broncos?
—Pues no sé mucho de ellos, pero mi canción favorita era la de ""Que no quede huella"".",1,1,2,2,0,0,0,1.5,misunderstanding,
tweet288,"Hay tres tipos de personas 
Los boludos que ponen San va lentinn..
Los que se quejan del chiste San va lentinn
Y tu vieja en tanga",1,1,4,0,0,0,0,1,embarrassment,
tweet292,"- Tengo hambre - Que quieres comer? - Tus labios, para besarte como si no hubiese mañana - Aww ¿En serio? - No, pásame las galletitas.",1,0,7,11,8,2,0,2.178571429,irony,
tweet296,"Me ofrecieron dinero a cambio de promocionar un producto en esta cuenta, pero mi dignidad es fuerte cómo Axión®, el verdadero arranca grasa.",1,0,0,1,2,1,1,3.4,unmasking,
tweet297,"¿Y qué le dijo la esposa a Schwarzenegger al saber su infidelidad...? ""¡HASTA LA VISTA BABY!"" by @ELXOCOLATE #fb",1,0,2,2,1,0,0,1.8,parody,
tweet300,"– Yo haría cualquier cosa por ti, mi amor.
– Desátame y déjame ir.
– Ah no, eso no.",1,1,1,1,2,0,0,2.25,unmasking,sexual aggressors
tweet304,"—Hijo ¿por qué tardas tanto en el baño?

—Perdón, mamá. Me metí a inhalar cocaína.

—No es cierto. Estás en twitter ¿puto vicioso?",1,1,2,0,1,1,0,2.25,exaggeration,
tweet305,"14 de febrero: prueba de amor.

14 de marzo: prueba de embarazo.

14 de noviembre: prueba de paternidad.",1,1,2,2,0,1,0,2,reference,
tweet308,"Situación sentimental:

Creo que la única persona que me robara el corazón será un traficange de órganos.",1,1,1,0,2,1,0,2.75,exaggeration,self-deprecating
tweet322,"Un hombre puso un clasificado: Busco mujer coja, entre más coja mejor. by @yhonfgarcia #fb",1,0,2,0,3,0,0,2.2,wordplay,
tweet344,"Atencion : volco el camion que llevaba mermeladas , hay demoras
#chistes",1,0,1,1,0,0,3,3.6,wordplay,
tweet346,"Las mujeres quieren a alguien que las proteja y las haga reír, algo así como un payaso ninja...",1,1,4,2,2,1,0,2,analogy,women
tweet349,"-Estudié con el rabino Bergman
-En qué rama?
@MCeciliaBazan @mache2016",1,2,3,0,0,0,0,1,wordplay,
tweet366,"Los curas cuando juegan tenis , 40-30 es el marcador preferido...
Porque está cerca de deuce   #chistes",1,1,3,1,0,0,0,1.25,wordplay,
tweet368,Los ginecólogos y los repartidores de pizza tienen algo en común: Ambos la pueden oler pero ninguno se la puede comer,1,1,1,2,1,0,0,2,analogy,
tweet370,"Típico: Cuando están tus papás, tus amigos se vuelven las personas más educadas del mundo.",1,2,1,2,0,0,0,1.666666667,reference,
tweet374,"¡ESTO SE VA A DESCONTROLAAAAAAR!

—Yo, haciéndome 10 litros de chocomilk en la lavadora.",1,1,4,0,1,0,0,1.4,irony,
tweet381,"En matemáticas es el único lugar donde veo cosas tan ridículas como: Pepe tenía 133 chocolates, se comió 115 ¿Qué tiene? -Diabetes, quizá.",1,0,1,2,1,1,0,2.4,reference,
tweet387,"Aló, Diga? - Tenemos secuestrada a tu suegra, si quieres volver a verla tienes qu.... *tutututututututu*",1,0,1,1,1,1,1,3,unmasking,family/relationships
tweet415,Buenos días. Tengo tanto sueño que bajaría con la cama al comedor a tomar desayuno 😂,1,1,4,0,0,0,0,1,exaggeration,
tweet423,"Toc, toc - quien es - lola - que lola?? - los ladrones... Bueno esperame que estoy con lame - que lame?? - lametralladora... #xD",1,0,4,3,2,0,0,1.777777778,wordplay,
tweet429,"—Hola, soy ateo.

—Yo anuel, ucho usto.

—El usto es ío.",1,1,2,1,0,0,1,2.25,wordplay,
tweet432,Hay un mundo mejor ¡Pero es muy caro! #Frases #fb,1,1,0,1,3,0,0,2.75,parody,social status
tweet433,"Como sentir que fuiste a Starbucks sin salir de casa en tres sencillos pasos:

1. Prepárate un Nescafé
2. Bébelo
3. Quema un billete de $100",1,0,0,0,2,2,1,3.8,analogy,
tweet434,"—¿Qué hacías antes de conocerme?
—Stalkearte.",1,2,0,2,0,1,0,2.6667,misunderstanding,
tweet435,"—Amor, creo que se ha roto el condón. —¡¿QUÉ?! —JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJÁ ¡Caíste! ni siquiera lo estoy usando.",1,0,1,2,1,1,0,2.4,unmasking,
tweet442,"Mami, en el twitter me escribieron retardada :(- ¿Y qué les respondiste? - ""jUm AnTeX dE KrItIcArM3 1nTeNt4p zuPeR4RM3p. #xD",1,1,3,0,0,1,0,1.75,unmasking,
tweet446,"Es facil decir ""Te amo"", lo realmente difícil es decir "" tres tristes tigres comen en tres tristes platos, tres tristes trigos 
#frases",1,0,1,1,2,1,0,2.6,parody,
tweet447,"Dicen que hay 140 calorías en una lata de Coca-Cola, pero aquí está mi secreto: nunca me como la lata.",1,1,1,3,0,0,0,1.75,wordplay,body shaming
tweet458,"Ya no existe eso de ""repondió rápido por educación"". Respondió rápido quiere pija.",1,2,3,0,0,0,0,1,exaggeration,
tweet464,"—¡Mesero!  —Dígame joven  —¡Hay una princesa en mi mesa!  —Joven, es su novia  —Soy un romántico, lo sé.",1,1,3,0,1,0,0,1.5,absurd,
tweet467,"“Con este clima me dan ganas de estar todo el día acostado”

—Yo, con todos los climas.",1,1,2,1,1,0,0,1.75,reference,self-deprecating
tweet471,"Llegar a un examen y contestar: ""Un caballero no tiene memoria"", entregarlo sin remordimiento alguno e irse :)",1,0,3,2,0,0,0,1.4,reference,
tweet476,"-¡Qué escándalo, el doctor quiere casarse con una paciente -¿Y eso qué tiene de malo? -¡Es médico veterinario! #fb",1,0,1,1,3,0,0,2.4,absurd,
tweet478,#Chiste mama mama ya no soy virgen............-TE SACARON DE PASTORSITA?????...........-no mi tio me violo!! #Chistes RT,1,1,3,1,0,0,0,1.25,unmasking,sexual aggressors
tweet484,¿Cuántas ardillas se necesitan para cambiar un bombillo? 100 porque son muy estúpidas.,1,2,4,0,0,0,0,1,absurd,
tweet485,"- Manuel ¿cómo te ha ido en el juicio?
- El juez ha dicho que 5 años de cárcel o 95 mil euros.
- Tú no seas tonto...",1,2,3,0,0,0,0,1,misunderstanding,
tweet486,"-Pa, ¿qué es ser un hombre? 
- Es ser el que toma decisiones, el que manda.
- Ahh, un día quiero ser un hombre,  como mi mamá.",1,0,0,1,2,1,1,3.4,stereotype,men
tweet488,"Todos los dias planeo hacer cosas de mañana y acá estoy, mi vida la maneja chano",1,1,3,1,0,0,0,1.25,irony,professions
tweet492,No les quiero arruinar lo poco que queda del domingo... Pero mañana es LUNES.,1,1,3,0,1,0,0,1.5,reference,
tweet495,¿Así es tu cara? ¿O te bautizaron con agua hirviendo?,1,1,2,1,1,0,0,1.75,exaggeration,body shaming
tweet502,"“Que se vaya a la mierda, no le voy a rogar""

—Yo antes de rogarle.",1,0,3,0,2,0,0,1.8,reference,
tweet508,"Pasa un niño y otro niño le dice: -¡Adiós bizco! Y él contesta: -Adiós, par de maricas! #fb",1,1,1,3,0,0,0,1.75,stereotype,body shaming
tweet510,"—Amor, ¿qué tienes? 
—Nada.
—Estás muy cortante.  
—Está bien, lo confieso, soy un cuchillo.",1,0,2,1,0,1,1,2.6,misunderstanding,
tweet511,"Con mi ex terminamos por algunas diferencias religiosas, yo era cristiano y ella satanás.",1,1,3,1,0,0,0,1.25,analogy,family/relationships
tweet519,"Se abre el telón, aparecen tres mujeres, y tres hombres en la cama  se cierra el telón¿Que hora es?
Las tres clavadas  #chistes #humor",1,1,2,0,1,1,0,2.25,wordplay,
tweet526,"“No estamos en edad de quedarnos con las ganas”.

—Yo, antes de pedir otra hamburguesa.",1,1,1,0,3,0,0,2.5,parody,
tweet546,"-Porque estás triste? 
-Se me pasó el colectivo..
-No te pongas mal, son cosas que pasan...",1,0,2,0,2,0,1,2.6,wordplay,
tweet547,¿Por qué el Jinete sin Cabeza no tiene amigos? ¡Porque no tiene Face! #fb,1,0,0,4,0,1,0,2.4,wordplay,
tweet556,"Mi celular pasa tanto tiempo cargando la batería, que estoy empezando a pensar que me vendieron un teléfono fijo.",1,1,0,2,2,0,0,2.5,analogy,
tweet565,"-Hola mi amor, estoy en un embotellamiento. -¿A qué hora llegarás? -Pues cuando se terminen las botellas.” #Plop #fb",1,0,1,3,1,0,0,2,unmasking,substance use
tweet572,"—Ayer cogí.

—¿En serio? ¿Con quién?

—¿Recuerdas a las dos chicas que llegaron a tu fiesta en minifalda?

—Sí.

—Pues me cogí a tu novia.",1,0,2,1,1,1,0,2.2,unmasking,
tweet581,"–Wey, me asaltaron. –¡No mames! ¿Quién? –Se llama Luis. Me dio su tarjeta. Llámalo, asalta muy bien. Te lo recomiendo.",1,1,2,2,0,0,0,1.5,irony,
tweet584,"Oye, deberías pedir trabajo ahí -¿Por qué lo dices, amor? -Porque ahí dice: ""INTERESADAS"" pedir informes.",1,0,3,2,0,0,0,1.4,wordplay,women
tweet588,#LoQueHubieraTuiteadoDeNiño le metí una botella de plástico a mi bicicleta en la llanta de atrás para que suene como moto jajaja.,1,2,3,0,0,0,0,1,exaggeration,
tweet595,"Primero TCC me manda un mail para avisarme la programación y al toque Pedidos Ya para que pida comida.
Para mí que se ponen de acuerdo.",1,2,1,2,0,0,1,2.5,absurd,
tweet600,"-Señorita, disculpe pero su vuelo viene demorado... Alicia Machado: -¡Ay, que emoción, es mi color favorito! #fb",1,1,1,0,3,0,0,2.5,misunderstanding,
tweet608,"—¿Tienen pastillas para dejar de ser presumido?
—Sí.
—¡Eso no es nada! Mi papá es el dueño de la fábrica donde las hacen.",1,0,1,0,4,0,0,2.6,irony,
tweet613,"En mis tiempos el baño se hizo para cagar, no para tomarse fotos!! Atte: mi abuelita #XD #JAJAJA #RT",1,0,4,5,1,0,0,1.7,reference,age
tweet615,"Un tipo tan de malas que compró el libro COMO DOMINAR A LAS MUJERES, y la mujer no se lo dejó leer. xD",1,0,1,1,2,1,0,2.6,irony,women
tweet616,"#MeViolenta que en un examen venga la opción ""Justifica tu Respuesta"" ¡Como se atreven a cuestionar mi sabiduría!.",1,0,3,1,1,0,0,1.6,reference,
tweet624,"- Hola. ¿Tiene usted una película que se llama ""Tu culo está estacionado""?
- ¿Sabe el título en inglés?
- Yourassispark",1,0,0,3,1,0,1,2.8,wordplay,
tweet626,"Si el hombre que no trabaja se hace buey, el buey que no trabaja, ¿se hace hombre? #DudasExistenciales #fb",1,1,3,1,0,0,0,1.25,parody,
tweet630,"Entra una señora a la carnicería y dice:
Deme esa cabeza de cerdo de allí
Y contesta el carnicero:
Perdone señora, pero eso es un espejo",1,0,1,2,1,1,0,2.4,embarrassment,women
tweet636,A falta de sexo... bronca con los alumnos. — Los profesores.,1,2,3,0,0,0,0,1,reference,
tweet651,-La semana pasada mi hijo hizo un triple salto mortal desde 20 metros de altura - ¿Es trapecista? -Era :(,1,0,2,0,0,1,2,3.2,misunderstanding,
tweet653,La masturbación es un trabajo artesanal... 100% hecho a mano! #fb,1,0,2,2,1,0,0,1.8,wordplay,
tweet654,"Como quisiera que fueras cereal, para estarte atascando de leche ahorita, chiquitita.",1,2,2,1,0,0,0,1.3333,analogy,
tweet657,Al lado mío hay un tipo escuchando La Nueva Luna sin auriculares. Le voy a preguntar si me va a robar el cel ahora o cuando me baje.,1,0,0,4,1,0,0,2.2,stereotype,
tweet662,"Un borracho en moto choca con una señal de tránsito, llega un policía y le pregunta: - ¿no vio la flecha? -No, ni al indio que me la tiró",1,0,0,3,2,0,0,2.4,misunderstanding,substance use
tweet665,"—Amor, ¿Estoy gorda? —No, tienes el cuerpo común. —¿Común? —Sí, común balón pinche gorda, ¡MÉTETE AL GIMNASIO!",1,0,2,3,0,0,0,1.6,unmasking,body shaming; women
tweet680,"Cuando te digan ESTUDIA no hagas nada, significa ES-TU-DIA, aprovechalo! #fb",1,3,1,2,1,1,0,2.4,wordplay,
tweet682,"Compartir es divertido, a menos de que se trate de TUS PROPIAS COSAS. #fb",1,2,3,0,1,0,0,1.5,unmasking,
tweet686,"Lo bueno de los Viernes 13 es que puedes asesinar a la persona que te cae mal, arrojarla en un bosque y todos van a pensar que fue Jason.",1,1,1,2,0,1,0,2.25,absurd,
tweet711,"habia un broder que tenia un auto lote y también vendía elotes, así que lo llamo Autoelotes guau",1,2,4,0,0,0,0,1,wordplay,
tweet713,"—Hijo, ¿ya sabes que vas a estudiar?
—No, aún no decido.
—¿Qué te gusta? 
—Dormir.",1,2,1,2,0,0,0,1.6667,absurd,age; self-deprecating
tweet714,"—Amor, dime algo que me vuelva loca. —¡Mira! Esa mujer tiene el mismo vestido que tú.",1,0,0,3,0,2,0,2.8,misunderstanding,women
tweet717,"Mamá, mamá, no lo vas a creer! Un tal Pablo Neruda tiene un libro con todos los poemas que te escribió mi papá cuando eran novios!",1,0,2,1,1,0,1,2.4,misunderstanding,
